cod_municipio,municipio,pop_0a14,pop_65mais,indice_envelhecimento,percentual_idosos,razao_dependencia,classificacao,pop_60mais,indice_60mais,diferenca_abs,diferenca_rel
2510659,Parari - PB,75,91,121.33333333333334,54.81927710843374,100,Crítico,379,505.33333333333337,384,316.4835164835165
2502300,Bom Sucesso - PB,226,240,106.19469026548674,51.50214592274678,100,Crítico,1140,504.424778761062,398.2300884955753,375
2517209,Vieirópolis - PB,239,245,102.51046025104603,50.6198347107438,100,Crítico,1108,463.59832635983264,361.0878661087866,352.2448979591837
2513984,São Francisco - PB,169,172,101.77514792899409,50.43988269794721,100,Crítico,718,424.85207100591714,323.07692307692304,317.44186046511624
2513984,São Francisco - PB,169,172,101.77514792899409,50.43988269794721,100,Crítico,718,424.85207100591714,323.07692307692304,317.44186046511624
2502300,Bom Sucesso - PB,226,227,100.44247787610618,50.11037527593819,100,Crítico,1140,504.424778761062,403.9823008849558,402.20264317180624
2513208,Santa Cruz - PB,330,320,96.96969696969697,49.23076923076923,100,Alerta,1440,436.3636363636363,339.3939393939394,350
2514909,São Mamede - PB,401,386,96.25935162094763,49.04701397712834,100,Alerta,1686,420.4488778054863,324.18952618453864,336.78756476683935
2502300,Bom Sucesso - PB,250,240,96,48.97959183673469,100,Alerta,1140,455.99999999999994,359.99999999999994,374.99999999999994
2513968,São Domingos - PB,134,128,95.52238805970148,48.854961832061065,100,Alerta,536,400,304.4776119402985,318.75000000000006
2517209,Vieirópolis - PB,239,224,93.72384937238493,48.38012958963283,100,Alerta,1108,463.59832635983264,369.8744769874477,394.6428571428571
2513851,Santo André - PB,133,123,92.4812030075188,48.046875,100,Alerta,NA,NA,NA,NA
2506202,Frei Martinho - PB,129,119,92.24806201550388,47.983870967741936,100,Alerta,NA,NA,NA,NA
2510659,Parari - PB,75,69,92,47.91666666666667,100,Alerta,379,505.33333333333337,413.33333333333337,449.2753623188406
2513851,Santo André - PB,133,122,91.72932330827066,47.84313725490196,100,Alerta,NA,NA,NA,NA
2502300,Bom Sucesso - PB,250,227,90.8,47.58909853249476,100,Alerta,1140,455.99999999999994,365.19999999999993,402.2026431718061
2513208,Santa Cruz - PB,355,320,90.14084507042254,47.40740740740741,100,Alerta,1440,405.6338028169014,315.49295774647885,349.99999999999994
2513307,Santa Helena - PB,290,259,89.3103448275862,47.17668488160292,100,Alerta,1223,421.7241379310344,332.4137931034482,372.2007722007721
2502300,Bom Sucesso - PB,271,240,88.56088560885608,46.96673189823875,100,Alerta,1140,420.6642066420664,332.1033210332103,375
2506202,Frei Martinho - PB,129,114,88.37209302325581,46.913580246913575,100,Alerta,NA,NA,NA,NA
2513851,Santo André - PB,140,123,87.85714285714286,46.7680608365019,100,Alerta,NA,NA,NA,NA
