"","cod_municipio","municipio","pop_0a14","pop_65mais","pop_15_64","razao_dependencia","indice_envelhecimento","classificacao_rd","classificacao_ie","classificacao_dep","municipio_simples"
"1",250355,"Cacimbas - PB",2062,660,4501,60.4754499000222,32.007759456838,NA,"Favorável","Crítico","Cacimbas"
"2",250090,"Arara - PB",2397,2024,7791,56.7449621357977,84.438881935753,NA,"Alerta","Alerta","Arara"
"3",251320,"Santa Cruz - PB",1062,1086,3799,56.5411950513293,102.25988700565,NA,"Crítico","Alerta","Santa Cruz"
"4",251490,"São Mamede - PB",1422,1265,4783,56.1781308802007,88.9592123769339,NA,"Alerta","Alerta","São Mamede"
"5",251650,"Taperoá - PB",3147,1887,9034,55.7228248837724,59.9618684461392,NA,"Moderado","Alerta","Taperoá"
"6",250610,"Fagundes - PB",2505,1442,7102,55.575894114334,57.564870259481,NA,"Moderado","Alerta","Fagundes"
"7",251272,"Pedro Régis - PB",1296,748,3722,54.9167114454594,57.7160493827161,NA,"Moderado","Alerta","Pedro Régis"
"8",251590,"Serraria - PB",1080,651,3154,54.8826886493342,60.2777777777778,NA,"Moderado","Alerta","Serraria"
"9",250120,"Areial - PB",1577,948,4603,54.8555290028242,60.1141407736208,NA,"Moderado","Alerta","Areial"
"10",250820,"Lagoa de Dentro - PB",1722,1044,5053,54.7397585592717,60.6271777003484,NA,"Moderado","Alerta","Lagoa de Dentro"
